52       made_shot               Driving Bank shot
53       made_shot               Driving Bank shot
54       made_shot               Driving Bank shot
55     missed_shot               Driving Bank shot
56       made_shot               Driving Bank shot
57       made_shot               Driving Bank shot
58       made_shot               Driving Bank shot
59       made_shot               Driving Dunk Shot
60       made_shot               Driving Dunk Shot
61       made_shot               Driving Dunk Shot
62       made_shot               Driving Dunk Shot
63       made_shot               Driving Dunk Shot
64       made_shot               Driving Dunk Shot
65       made_shot               Driving Dunk Shot
66       made_shot               Driving Dunk Shot
         shot_type shot_distance               opponent
1   2PT Field Goal             0        Detroit Pistons
2   2PT Field Goal             0         Boston Celtics
3   2PT Field Goal             0         Indiana Pacers
4   2PT Field Goal             0     Los Angeles Lakers
5   2PT Field Goal             0           Phoenix Suns
6   2PT Field Goal             1          Chicago Bulls
7   2PT Field Goal             0   Los Angeles Clippers
8   2PT Field Goal             0           Phoenix Suns
9   2PT Field Goal             0        Milwaukee Bucks
10  2PT Field Goal             0        Houston Rockets
11  2PT Field Goal             0           Phoenix Suns
12  2PT Field Goal             0         Denver Nuggets
13  2PT Field Goal             0         Denver Nuggets
14  2PT Field Goal             0        Toronto Raptors
15  2PT Field Goal             0  Oklahoma City Thunder
16  2PT Field Goal             0        Houston Rockets
17  2PT Field Goal             0  Oklahoma City Thunder
18  2PT Field Goal             0       Sacramento Kings
19  2PT Field Goal             0  Oklahoma City Thunder
20  2PT Field Goal             0         Denver Nuggets
21  2PT Field Goal             0       Sacramento Kings
22  2PT Field Goal             0        Toronto Raptors
23  2PT Field Goal             0     Los Angeles Lakers
24  2PT Field Goal             0   New Orleans Pelicans
25  2PT Field Goal             0   Los Angeles Clippers
26  2PT Field Goal             0 Portland Trail Blazers
27  2PT Field Goal             0         Denver Nuggets
28  2PT Field Goal             0          Atlanta Hawks
29  2PT Field Goal             0      Memphis Grizzlies
30  2PT Field Goal             0 Portland Trail Blazers
31  2PT Field Goal             0         Denver Nuggets
32  2PT Field Goal             0     Los Angeles Lakers
33  2PT Field Goal             0      San Antonio Spurs
34  2PT Field Goal             0         Indiana Pacers
35  2PT Field Goal             0     Los Angeles Lakers
36  2PT Field Goal             1       Sacramento Kings
37  2PT Field Goal             1 Portland Trail Blazers
38  2PT Field Goal             2         Denver Nuggets
39  2PT Field Goal             1     Los Angeles Lakers
40  2PT Field Goal             3       Sacramento Kings
41  2PT Field Goal             0      Charlotte Hornets
42  2PT Field Goal             0 Portland Trail Blazers
43  2PT Field Goal             1      Charlotte Hornets
44  2PT Field Goal             1         Indiana Pacers
45  2PT Field Goal             2              Utah Jazz
46  2PT Field Goal             1       Dallas Mavericks
47  2PT Field Goal             1       Sacramento Kings
48  2PT Field Goal             0     Los Angeles Lakers
49  2PT Field Goal             1        Houston Rockets
50  2PT Field Goal             2         Boston Celtics
51  2PT Field Goal             6          Chicago Bulls
52  2PT Field Goal             7        Houston Rockets
53  2PT Field Goal             4           Phoenix Suns
54  2PT Field Goal             6      Memphis Grizzlies
55  2PT Field Goal             4 Minnesota Timberwolves
56  2PT Field Goal             9    Cleveland Cavaliers
57  2PT Field Goal             3     Philadelphia 76ers
58  2PT Field Goal             7        Toronto Raptors
59  2PT Field Goal             0     Philadelphia 76ers
60  2PT Field Goal             0         Denver Nuggets
61  2PT Field Goal             0         Denver Nuggets
62  2PT Field Goal             0        New York Knicks
63  2PT Field Goal             0     Los Angeles Lakers
64  2PT Field Goal             0       Sacramento Kings
65  2PT Field Goal             0   New Orleans Pelicans
66  2PT Field Goal             0    Cleveland Cavaliers
       x   y
1      0   1
2      0   1
3      0   1
4      0   1
5     -1   3
6      2  18
7      0   1
8      0   1
9      0   1
10     0   1
11     0   1
12     0   1
13     0   1
14     0   1
15     0   1
16     0   1
17     0   1
18     0   1
19     0   1
20     0   1
21     0   1
22     0   1
23     0   1
24     0   1
25     0   1
26     0   1
27     0   1
28     0   1
29     0   1
30     0   1
31     0   1
32     0   1
33     0   1
34     0   1
35     0   1
36     0  16
37    14   7
38    14  16
39    -2  11
40    22  26
41    -7   7
42     2   8
43    14  -1
44     6  16
45    -1  21
46     1  18
47   -14   7
48     0   7
49    14  11
50    22   8
51    42  43
52    58  46
53    -9  41
54   -27  56
55   -32  28
56    97  13
57    27  26
58   -47  56
59     0   1
60     0   1
61     0   1
62     0   1
63     0   1
64     0   1
65     0   1
66     0   1
 [ reached getOption("max.print") -- omitted 849 rows ]
